210.206.233.182	 => 	13-59-FD-65-5B-77
63.254.6.180	 => 	49-E2-35-41-38-90
92.124.146.107	 => 	2A-ED-FD-67-85-48
94.30.221.110	 => 	DC-78-83-44-12-AA
202.231.161.249	 => 	7C-1D-9B-DF-8A-31
22.203.124.116	 => 	99-CF-CA-5F-38-07
154.240.169.250	 => 	80-B6-8A-1F-DE-55
206.62.232.114	 => 	90-3D-D2-E4-1D-E1
110.106.150.174	 => 	C0-C2-2A-F4-30-EF
32.186.210.23	 => 	44-18-35-80-DB-09
54.223.75.58	 => 	94-6A-DC-D1-3D-CA
14.66.208.133	 => 	94-17-91-4C-59-A7
244.205.34.235	 => 	30-0B-AC-6F-C9-59
165.204.22.17	 => 	CA-28-6F-54-31-FB
226.100.158.33	 => 	EA-29-A0-50-66-98
106.184.245.52	 => 	73-9C-B9-00-48-A2
75.165.182.216	 => 	BA-1C-7D-C9-24-9A
48.61.164.143	 => 	99-93-F9-0F-21-73
64.193.229.32	 => 	F1-96-F6-4E-63-89
134.206.107.65	 => 	2E-1F-EA-C1-05-58
204.147.175.35	 => 	8C-47-65-3D-A7-67
210.214.112.163	 => 	1D-51-B2-17-5E-2F
46.133.157.170	 => 	E0-20-C1-0A-26-CA
222.177.125.147	 => 	F8-ED-CB-E5-3E-B7
87.211.34.81	 => 	AA-09-5F-53-14-1D
245.241.128.189	 => 	B5-08-45-85-3D-46
147.42.116.45	 => 	7E-3E-92-11-A1-42
164.222.18.14	 => 	6B-2A-51-88-4E-F7
224.199.143.76	 => 	F7-9E-C9-5A-F1-2A
49.231.82.113	 => 	67-27-38-6B-C2-83
58.46.64.185	 => 	84-3A-8D-8D-95-F8
216.122.130.113	 => 	5F-5E-67-02-40-9C
180.53.47.146	 => 	74-43-D6-C3-67-E7
156.101.145.48	 => 	4F-8C-D0-5B-55-4C
255.78.113.29	 => 	5C-F3-18-52-6E-CD
202.220.247.4	 => 	EF-FF-BE-F4-2F-2F
152.220.174.50	 => 	CE-CB-E0-B1-F0-F9
37.210.206.204	 => 	91-23-DF-FA-25-24
112.30.185.25	 => 	11-EC-62-FA-A8-86
237.88.171.68	 => 	FD-FE-86-25-C1-FA
31.170.254.229	 => 	EB-BD-4F-CD-45-CD
26.227.66.104	 => 	C0-6F-8F-9F-22-C5
42.2.132.223	 => 	F4-52-EA-4C-35-00
171.213.176.148	 => 	F1-97-6A-58-FC-70
16.98.30.229	 => 	CD-81-FF-02-AE-6B
98.189.183.197	 => 	4E-58-1D-B2-55-59
21.189.24.158	 => 	83-29-FC-1E-92-B4
119.182.185.229	 => 	85-AB-61-8C-22-32
255.18.219.184	 => 	D8-89-18-B1-4C-4D
224.178.101.7	 => 	AE-D5-0E-F3-B6-24
12.64.46.104	 => 	03-4F-E0-28-61-AA
195.35.225.43	 => 	FE-D1-40-CF-FB-90
176.139.77.23	 => 	3A-A4-D8-A3-CA-84
92.96.113.87	 => 	94-02-C6-5A-1B-C2
15.249.56.104	 => 	3D-8B-D7-4F-FD-5A
134.173.135.217	 => 	42-10-47-0C-6B-CE
2.242.223.46	 => 	CB-51-A4-F7-6D-3E
60.184.147.231	 => 	D5-69-0C-FC-BD-58
253.22.113.158	 => 	DA-D9-00-47-30-FC
104.47.152.237	 => 	17-27-3F-68-D9-BA
250.177.22.47	 => 	BF-F4-42-26-82-0A
49.54.215.98	 => 	F8-96-0F-EA-B7-60
234.226.45.192	 => 	40-7C-B3-B6-DD-C7
66.206.48.241	 => 	26-C0-5D-61-2F-55
94.175.232.62	 => 	4F-34-23-2F-9F-D3
213.28.171.58	 => 	DC-D1-93-7A-75-C1
247.118.128.132	 => 	18-5C-E2-65-7F-F2
235.3.193.123	 => 	91-02-C4-0A-59-FB
193.65.204.153	 => 	33-58-8F-55-B0-26
54.101.68.249	 => 	C0-60-E0-92-2E-D7
75.29.19.254	 => 	29-53-CB-37-FB-C9
137.114.241.186	 => 	86-B4-F4-D1-DB-E5
130.148.199.100	 => 	3F-59-D5-4C-7F-18
35.44.113.204	 => 	9D-F0-0D-9B-3A-5D
77.155.55.162	 => 	F8-76-1E-A3-AE-C2
200.145.84.33	 => 	A2-CE-12-87-90-E8
110.134.211.13	 => 	B3-8A-B7-65-A8-46
203.66.137.201	 => 	8B-7A-98-53-D7-7B
250.159.247.27	 => 	FA-96-F1-A6-C1-C5
65.245.116.29	 => 	19-65-2B-6B-BE-D9
242.213.64.63	 => 	82-CF-9A-17-C0-AB
11.99.25.108	 => 	B3-A2-67-8A-AB-D7
204.32.26.240	 => 	16-7C-82-9A-53-85
85.93.91.216	 => 	7B-67-FD-DE-0B-E4
44.77.104.245	 => 	CC-19-96-F8-AE-D2
33.159.66.60	 => 	8D-65-42-D5-41-4F
229.207.129.92	 => 	08-DE-09-45-EE-78
118.123.223.155	 => 	79-F4-18-2E-D7-13
117.83.174.152	 => 	3D-83-91-89-B2-BE
159.13.28.186	 => 	92-1A-35-BA-CF-02
143.95.96.57	 => 	CA-5E-7B-91-27-C7
50.139.173.197	 => 	83-6D-63-02-6E-D6
146.94.160.220	 => 	E8-71-C2-16-11-CD
179.78.210.205	 => 	9E-F8-65-AC-36-42
164.227.247.51	 => 	11-93-B3-87-49-9D
167.13.153.53	 => 	4D-3A-4E-57-96-8E
157.32.250.26	 => 	61-43-4C-60-D5-C3
33.10.41.141	 => 	CF-68-44-F2-AF-7E
71.51.113.177	 => 	9A-EB-9B-ED-90-90
43.193.193.28	 => 	48-2C-BE-70-F9-8D
